slug,buildID,jobID,prevBuildID,prevJobID,SHA,prevSHA
alibaba/fastjson,261346084,261346085,261341138,261341139,abac3c9e1f30,57ff7891419a
alibaba/fastjson,261340493,261340494,261301956,261301957,caedbf49efac,28f96470594b
alibaba/fastjson,261038693,261038694,260965682,260965683,a029f8eaa5a8,5b24fa04e27f
alibaba/fastjson,253967769,253967770,253934424,253934425,58d6282be979,98a60d58a03b
alibaba/druid,162384687,162384688,162384622,162384623,5e7746db8688,9d5c25e12ec3
alibaba/druid,160952592,160952593,160948187,160948188,3902b8c30a7a,26d2087237e6
alibaba/druid,157600582,157600583,157597558,157597560,e626f3dff5d3,e4989a26cc61
alibaba/druid,157549744,157549745,156560345,156560346,3351db95830b,a75f68e193bc
alibaba/druid,154582390,154582392,154356770,154356771,4d67f283ae1f,5e7cc271885e
ctripcorp/apollo,474452659,474452660,473857080,473857081,c787843cafbb,6d323ebdc7d6
ctripcorp/apollo,444290910,444290911,444288772,444288773,0da4cd4db574,a8a4a0d3f00e
ctripcorp/apollo,443046289,443046290,441247443,441247444,6f77f29cedb6,39b36a07809e
ctripcorp/apollo,436926872,436926873,436685461,436685462,5b418ff47b78,b70060ff9166
ctripcorp/apollo,436719524,436719525,436685461,436685462,b4af74e6dbd4,b70060ff9166
ctripcorp/apollo,436610512,436610513,436437640,436437641,e8b82d135705,425de29eace0
ctripcorp/apollo,433925288,433925289,433854982,433854983,4406b269ab24,c5774115c853
ctripcorp/apollo,432774661,432774662,432349635,432349636,443bb9dfc177,0d32276855a0
ctripcorp/apollo,423962229,423962230,423882338,423882339,cec2af3dd74c,2a926ea23a55
ctripcorp/apollo,420754768,420754769,420674184,420674185,d0d5064cb0fe,d762110755ff
ctripcorp/apollo,420520691,420520692,420674184,420674185,97ac62d6b832,d762110755ff
ctripcorp/apollo,420515614,420515615,420674184,420674185,3a747248042b,d762110755ff
ctripcorp/apollo,420471789,420471790,420674184,420674185,1b1298253a64,d762110755ff
ctripcorp/apollo,415108576,415108577,414494113,414494114,c61a80a8eb22,0118f1fad917
ctripcorp/apollo,414844345,414844346,414494113,414494114,531238910c3f,0118f1fad917
ctripcorp/apollo,413003941,413003942,412640716,412640717,73c636172f3e,0dc2db2d72b2
ctripcorp/apollo,412571414,412571415,412329834,412329835,20da725d6a93,82c561931103
ctripcorp/apollo,406860198,406860199,406820897,406820899,316a51e71f89,0c4069f945af
ctripcorp/apollo,406778445,406778447,406752960,406752962,08ac3293261e,6860f0a23172
ctripcorp/apollo,406605632,406605635,406585024,406585025,612f1967b697,87c65bfe9cc3
ctripcorp/apollo,405689982,405689983,403890969,403890970,e4135df5dd23,16bf9e9dd2ba
ctripcorp/apollo,405668847,405668848,403890969,403890970,f1175050728c,16bf9e9dd2ba
ctripcorp/apollo,401674747,401674748,401214158,401214159,a61e35671931,0d7513d65952
ctripcorp/apollo,401667441,401667442,401214158,401214159,968875375aa8,0d7513d65952
ctripcorp/apollo,401656929,401656930,401214158,401214159,eea56aeddc25,0d7513d65952
ctripcorp/apollo,401656573,401656574,401214158,401214159,e04a12a924e6,0d7513d65952
ctripcorp/apollo,398740932,398740933,398513413,398513414,69a4addf1d52,087205783c02
ctripcorp/apollo,389668297,389668298,389301482,389301483,e2786fb5a527,f0eadb3813d6
ctripcorp/apollo,366454992,366454993,365671429,365671430,6aad276f8764,f8965ca1a13b
ctripcorp/apollo,366453655,366453656,365671429,365671430,01e1a71861c2,f8965ca1a13b
ctripcorp/apollo,366430025,366430026,365671429,365671430,5491e0398713,f8965ca1a13b
eclipse-vertx/vert.x,474329079,474329080,474139628,474139636,010a7a68ecfa,1d9739902b62
eclipse-vertx/vert.x,474329079,474329082,474139628,474139636,010a7a68ecfa,1d9739902b62
